DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
06-07-16,11:40 AM,ELITE SUPER MARKET,690,CitiBank credit 4456,Yes,GROCERIES,,
06-07-16,12:01 PM,MOOLANS MEGA MART,689.64,CitiBank credit 4456,Yes,GROCERIES,,
09-07-16,12:00 PM,LULU MALL,"7,254",CASH Spends,Yes,SHOPPING,#Family,
09-07-16,12:00 PM,AMAZON,399,CASH Spends,Yes,SHOPPING,,
13-07-16,11:24 AM,VISABILLPAY-AIR,230,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
13-07-16,12:00 PM,ELITE SUPER MARKET,760,CASH Spends,Yes,GROCERIES,,
16-07-16,12:00 PM,PETROL,"1,000",CASH Spends,Yes,FUEL,,
16-07-16,12:00 PM,KADAL PKD,770,CASH Spends,Yes,FOOD & DRINKS,,
16-07-16,12:00 PM,NUMBER PLATE,850,CASH Spends,Yes,OTHER,,
17-07-16,12:00 PM,ELITE,"1,705",CASH Spends,Yes,GROCERIES,,
18-07-16,07:41 PM,BIKE REPIRE,"1,500",CASH Spends,Yes,BILLS,,
19-07-16,11:14 AM,IRCTC,513,CitiBank credit 4456,Yes,TRAVEL,#Online,
21-07-16,08:40 AM,IRCTC,468,CitiBank credit 4456,Yes,TRAVEL,#Online,
21-07-16,09:14 AM,RELIANCEINFO-BILLD,573.85,CitiBank credit 4456,Yes,MOBILE BILLS,,
21-07-16,03:29 PM,SEA SHELL,791,CitiBank credit 4456,Yes,FOOD & DRINKS,,
21-07-16,09:40 PM,VISABILLPAY,104,CitiBank credit 4456,Yes,MOBILE BILLS,,
23-07-16,03:43 AM,TAXI,350,CASH Spends,Yes,TRAVEL,,
24-07-16,07:29 PM,HOTEL ARYAAS,175,CitiBank credit 4456,Yes,FOOD & DRINKS,,
24-07-16,10:02 PM,AMAZON,426,CitiBank credit 4456,Yes,SHOPPING,#Online,
25-07-16,10:50 AM,VEGIES,80,CASH Spends,Yes,GROCERIES,,
25-07-16,07:27 PM,ELITE SUPER MARKET,"1,215",CitiBank credit 4456,Yes,GROCERIES,,
25-07-16,07:42 PM,STERLING APPLIANCES,"1,600",CitiBank credit 4456,Yes,SHOPPING,,
25-07-16,07:44 PM,STERLING APPLIANCES,"1,150",CitiBank credit 4456,Yes,SHOPPING,,
25-07-16,11:33 PM,BOOKMYSHOW,322.52,CitiBank credit 4456,Yes,ENTERTAINMENT,#Online,
26-07-16,08:33 PM,POPCORN,120,CASH Spends,Yes,ENTERTAINMENT,,
26-07-16,10:29 PM,CAR WASH PIPE,227,CASH Spends,Yes,SHOPPING,,
27-07-16,08:16 PM,V K JANARDHANAN,"1,000",CitiBank credit 4456,Yes,FUEL,,
29-07-16,07:49 PM,ELITE SUPER MARKET,435,CitiBank credit 4456,Yes,GROCERIES,,
29-07-16,08:05 PM,"MOOLANS FAMILY MART, ANGAMALY",268.24,CitiBank credit 4456,Yes,GROCERIES,,
29-07-16,10:26 PM,RENT,"12,000",CASH Spends,Yes,BILLS,,
29-07-16,10:26 PM,MAID,"1,500",CASH Spends,Yes,BILLS,,
30-07-16,07:41 PM,FLIPKART,"2,000",CitiBank credit 4456,Yes,SHOPPING,#Online,
30-07-16,10:44 PM,AMAZON,"24,764.93",CitiBank credit 4456,Yes,SHOPPING,#Online,
31-07-16,10:49 AM,KSEB,459.46,CitiBank credit 4456,Yes,BILLS,#Online,
31-07-16,12:00 PM,GAS,220,CASH Spends,Yes,BILLS,,
31-07-16,12:00 PM,MILK,743,CASH Spends,Yes,BILLS,,
31-07-16,01:43 PM,SREE RADHAKRISHNA,550,CitiBank credit 4456,Yes,FOOD & DRINKS,,
01-08-16,08:08 PM,ELITE SUPERMARKET,"1,024",CitiBank credit 4456,Yes,GROCERIES,,
02-08-16,08:10 PM,PETROL,"2,135.9",CitiBank credit 4456,Yes,FUEL,,
02-08-16,08:37 PM,COSMETICS,780,CASH Spends,Yes,SHOPPING,,
02-08-16,08:37 PM,HEALTH,270,CASH Spends,Yes,HEALTH,,
02-08-16,08:52 PM,ELECTRICITY,458,CASH Spends,Yes,BILLS,,
03-08-16,07:36 AM,IDEA PAYMENT,179,CitiBank credit 4456,Yes,SHOPPING,#Online,
03-08-16,03:48 PM,FOOD MUNNAR,284,CASH Spends,Yes,FOOD & DRINKS,,
03-08-16,03:48 PM,PARKING,25,CASH Spends,Yes,TRAVEL,,
03-08-16,08:13 PM,BREAKFAST,40,CASH Spends,Yes,FOOD & DRINKS,,
03-08-16,08:13 PM,ANHARANYAM,40,CASH Spends,Yes,TRAVEL,,
04-08-16,08:26 AM,HOTEL HILLVIEW MUNNAR,660,CitiBank credit 4456,Yes,FOOD & DRINKS,,
04-08-16,12:00 PM,DINNER,756,CASH Spends,Yes,FOOD & DRINKS,,
04-08-16,09:45 PM,HILLTOP,70,CASH Spends,Yes,TRAVEL,,
04-08-16,09:46 PM,MATTUPATI DAM,480,CASH Spends,Yes,TRANSFER,,
05-08-16,12:00 PM,BIKE EMI,"3,500",CASH Spends,Yes,EMI,,
05-08-16,07:53 PM,THEKKADI BOAT,450,CASH Spends,Yes,TRAVEL,,
05-08-16,07:54 PM,LUNCH,570,CASH Spends,Yes,FOOD & DRINKS,,
06-08-16,10:41 AM,WATERSCAPES,744,CitiBank credit 4456,Yes,FOOD & DRINKS,,
06-08-16,08:39 PM,BOAT,700,CASH Spends,Yes,TRAVEL,,
06-08-16,08:41 PM,LUNCH,580,CASH Spends,Yes,FOOD & DRINKS,,
07-08-16,09:12 AM,ANNIVERSARY TRIP TOTAL EXPENSE,"16,208",CASH Spends,No,OTHER,#Family,
07-08-16,10:10 PM,ELITE SUPERMARKET,"1,571",CASH Spends,Yes,GROCERIES,,
07-08-16,10:12 PM,PETROL,"2,170",CASH Spends,Yes,FUEL,,
08-08-16,08:28 AM,SATHEEAH MARRIAGE GIFT,"2,115",CASH Spends,Yes,SHOPPING,,
08-08-16,08:28 AM,SAREE PURCHASE,"1,699",CASH Spends,Yes,SHOPPING,,
08-08-16,08:29 AM,PROTECTIVE TAMPERED GLASS,599,CASH Spends,Yes,SHOPPING,,
